NOME	REGIME	ANO	NÚMERO	CURSO
Erick Barros	normal	1	3378	EE
Alexandre Araujo	normal	3	7505	EM
Ana Beatriz Silva	normal	2	2741	CONT
Alana Sales	normal	3	3129	GI
Emanuella Pires	normal	2	4134	EC
Carolina Viana	normal	3	7629	TDMO
Nicolas da Rosa	normal	2	7432	EI
Lais Lima	normal	1	3473	CONT
Lara Souza	normal	1	4863	TDMO
Sabrina Souza	normal	2	6894	TDM
Ana Clara Costa	normal	1	1595	MKT
Elisa Silva	normal	2	6653	EC
Ana Julia Caldeira	normal	1	7054	TUR
Caua Cardoso	normal	3	6506	CONT
Julia Barbosa	normal	3	7556	GI
Ana Julia Santos	normal	3	1012	CONT
Yasmin das Neves	normal	3	3622	GE
Marcelo Carvalho	normal	1	2123	CONT
Caroline Fogaca	normal	2	4534	GI
Gabrielly da Luz	normal	3	2168	GI
Luiz Gustavo Dias	normal	2	2204	EC
Melissa da Rocha	normal	2	6312	GI
Maria Alice Jesus	normal	1	6375	EE
Thales Aragao	normal	1	3340	TDMO
Leandro Ribeiro	normal	1	2363	TDM
Helena da Mata	normal	3	2145	TUR
Bernardo Barbosa	normal	1	5082	MKT
Andre Almeida	normal	2	7751	EM
Eloah Alves	normal	3	7665	EI
Lucca Martins	normal	2	5817	GI
Fernanda Lima	normal	2	3336	EI
Ana Sophia Gomes	normal	2	7060	EC
Breno Melo	normal	2	7245	EA
Ana Julia Cunha	normal	2	3038	TDMO
Noah da Luz	normal	3	2755	EA
Pedro Henrique Novaes	normal	2	7864	EI
Catarina Rezende	normal	3	7378	TUR
Joao Lucas da Cunha	normal	1	1299	EM
Alexandre Rocha	normal	3	6326	EM
Pedro Henrique Lima	normal	1	2136	EM
Davi Lucas Castro	normal	2	2031	CONT
Emanuelly da Cruz	normal	1	6795	EA
Helena Lopes	normal	1	7134	MKT
Alana Correia	normal	3	2919	TDMO
Lorena Cardoso	normal	3	4456	TUR
Luiz Otavio Castro	normal	2	3395	MKT
Davi Lucas da Mata	normal	1	4483	GI
Joao Teixeira	normal	3	6447	EA
Kamilly Duarte	normal	3	6031	GI
Emanuella Barbosa	normal	1	7737	MKT
Maysa Ferreira	normal	1	4558	TDM
Maria Fernanda da Costa	normal	1	1791	MKT
Alicia Freitas	normal	2	4679	EI
Luana Farias	normal	3	4304	CONT
Rafael Correia	normal	2	7045	EA
Manuela da Luz	normal	1	4524	EA
Caue Farias	normal	1	3530	TDM
Joao Lucas Peixoto	normal	2	4520	TDM
Joao Freitas	normal	2	1957	EC
Lara Melo	normal	3	4932	TDMO
Renan Peixoto	normal	2	1582	EA
Raquel Azevedo	normal	2	3819	TDM
Marcela Rodrigues	normal	2	3186	TUR
Joao Guilherme Fernandes	normal	2	3093	EC
Marcos Vinicius Azevedo	normal	1	6873	TDM
Cecilia da Cruz	normal	3	1800	MKT
Luna Silveira	normal	1	4864	EE
Fernanda Pinto	normal	3	3678	EE
Vitor Hugo Oliveira	normal	2	2921	CONT
Joana Rezende	normal	1	6135	EE
Ana Clara Mendes	normal	2	3014	CONT
Mariana Costela	normal	1	5925	EM
Eloah Alves	normal	1	6183	TDM
Julia da Mota	normal	2	7955	EA
 Natalia Viana	normal	1	3153	TDM
Marcela Carvalho	normal	2	3885	TDMO
Anthony Pires	normal	2	5240	EI
Leandro Novaes	normal	1	7799	EA
Kevin Nascimento	normal	1	5899	CONT
Pedro Henrique da Paz	normal	1	7291	MKT
Gabriel Costela	normal	3	7881	GE
Davi Lucca Dias	normal	2	4504	GI
Amanda Goncalves	normal	1	1456	EE
Emanuel Barros	normal	1	5497	EC
Anthony Alves	normal	1	6012	EC
Gabrielly Mendes	normal	1	3549	EC
Marcelo da Luz	normal	1	4900	GI
Ana Julia Nogueira	normal	2	4353	MKT
Maria Fernanda das Neves	normal	1	2620	EM
Maria Fernanda Rezende	normal	3	2591	EE
 Gustavo Henrique da Mota	normal	3	5709	EC
Luna Moreira	normal	2	6058	GE
 Daniel das Neves	normal	1	3442	EI
Yasmin da Cruz	normal	1	7157	EI
 Joao Gabriel Dias	trabalhador-estudante	1	3236	EC
Ana Julia Porto	trabalhador-estudante	1	4805	TDM
 Sarah Cardoso	trabalhador-estudante	1	6406	TDMO
Isabel Costa	trabalhador-estudante	1	5180	CONT
Bianca Duarte	trabalhador-estudante	3	6463	EC
Joao Vitor Costela	trabalhador-estudante	3	2358	EI
Julia Almeida	trabalhador-estudante	1	3390	CONT
Pedro Lucas Araujo	trabalhador-estudante	3	1821	CONT
Francisco da Cruz	trabalhador-estudante	1	1277	MKT
Nathan Peixoto	trabalhador-estudante	1	1117	EI
Maria Alice Caldeira	trabalhador-estudante	3	5321	TUR
Alexandre da Cruz	trabalhador-estudante	3	1933	EA
Vicente Gomes	trabalhador-estudante	1	1500	TDM
Julia Fernandes	trabalhador-estudante	3	3698	EE
Gabriela Almeida	trabalhador-estudante	2	6465	TUR
Ana Julia Nogueira	trabalhador-estudante	3	7349	EM
Valentina Moraes	trabalhador-estudante	2	7545	GI
Luiz Otavio Moreira	trabalhador-estudante	1	3429	EI
Nicole Duarte	trabalhador-estudante	1	6517	CONT
Sarah Melo	trabalhador-estudante	1	6656	TDM
Barbara da Paz	trabalhador-estudante	1	3673	EE
Francisco Ferreira	trabalhador-estudante	2	1280	EM
Cecilia Pereira	trabalhador-estudante	2	2785	GI
Stella Rodrigues	trabalhador-estudante	3	1087	EE
Leandro Lima	normal	1	6808	EM
